"datasetId","datasetName","region","delay","universe","fieldCount","matrixCount","vectorCount","groupCount","symbolCount","csvFile","jsonFile"
"institutions25","Fund Short Selling Data","DEU","1","TOP500","24","0","24","0","0","institutions25.csv","institutions25.json"
"institutions4","Institutional Ownership Data","DEU","1","TOP500","6","0","6","0","0","institutions4.csv","institutions4.json"
"institutions6","Institutions and Beneficial Stake Ownership","DEU","1","TOP500","11","11","0","0","0","institutions6.csv","institutions6.json"
"intraday_pv_feats","Daily Intraday Price Volume Features","DEU","1","TOP500","585","585","0","0","0","intraday_pv_feats.csv","intraday_pv_feats.json"
"macro27","Job records from job posting","DEU","1","TOP500","13","0","13","0","0","macro27.csv","macro27.json"
"ml_factor_proj","Machine Learning Factor Projections","DEU","1","TOP500","333","333","0","0","0","ml_factor_proj.csv","ml_factor_proj.json"
"model106","Analysts rating model","DEU","1","TOP500","14","14","0","0","0","model106.csv","model106.json"
"model109","Fundamentals and Technical Indicators Model","DEU","1","TOP500","544","271","273","0","0","model109.csv","model109.json"
"model110","Big data and machine learning based model","DEU","1","TOP500","8","8","0","0","0","model110.csv","model110.json"
"model135","Alternative technical factor models","DEU","1","TOP500","137","0","137","0","0","model135.csv","model135.json"
"model138","Stock Selection from Accounting-based Factors","DEU","1","TOP500","240","0","240","0","0","model138.csv","model138.json"
"model139","Inflation based stock selection model","DEU","1","TOP500","2","0","2","0","0","model139.csv","model139.json"
"model140","Sensitivity to the Inflation Change","DEU","1","TOP500","3","3","0","0","0","model140.csv","model140.json"
"model141","Interest Rate Sensitivity Measures","DEU","1","TOP500","6","6","0","0","0","model141.csv","model141.json"
"model144","Stock Selection DL model","DEU","1","TOP500","2","2","0","0","0","model144.csv","model144.json"
"model16","Fundamental Scores","DEU","1","TOP500","8","8","0","0","0","model16.csv","model16.json"
"model162","Return prediction from conference call","DEU","1","TOP500","4","4","0","0","0","model162.csv","model162.json"
"model182","Geographic network based model","DEU","1","TOP500","7","0","7","0","0","model182.csv","model182.json"
"model193","European CDS Risk Factors","DEU","1","TOP500","98","98","0","0","0","model193.csv","model193.json"
